method,display_method,seed,family,n_test_manifest,candidate_slates,missing_candidate_slates,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temperature_n,temperature_mae,temperature_within_5c,temperature_within_10c,temperature_within_20c,selected_route_weight
product_gnn,B2 Product-GNN,1,Friedel-CraftsAlkylation,899,898,1,0.42602892102335926,0.07563959955506118,0.16907675194660732,0.20689655172413793,0.2569521690767519,0.13793393386322558,0.15693555147074476,0,,,,,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,1,Beckmann,235,232,3,0.3404255319148936,0.11914893617021277,0.1702127659574468,0.19148936170212766,0.22127659574468084,0.15662245278909642,0.16391844330336675,52,17.52680353017954,0.36538461538461536,0.46153846153846156,0.7115384615384616,2.0
sequential_fnn,B3 EditRetro + Sequential FNN,1,Buchwald-HartwigCross-Coupling,1099,1098,1,0.34849863512283896,0.055505004549590536,0.11737943585077344,0.1510464058234759,0.1956323930846224,0.10272163060345553,0.11992610629052372,303,9.033191334689805,0.5016501650165016,0.7392739273927392,0.8712871287128713,1.5
sequential_fnn,B3 EditRetro + Sequential FNN,1,Chan_LamCoupling,390,390,0,0.6871794871794872,0.29743589743589743,0.41794871794871796,0.4846153846153846,0.5564102564102564,0.38237680900547755,0.4156703059781462,249,8.084376250883661,0.5461847389558233,0.7871485943775101,0.9156626506024096,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,1,DielsAlder,762,742,20,0.3110236220472441,0.11023622047244094,0.16010498687664043,0.19553805774278216,0.21259842519685038,0.14704017392192814,0.15638150365189732,185,20.181484843911353,0.3027027027027027,0.5135135135135135,0.6594594594594595,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,1,Friedel-CraftsAcylation,475,473,2,0.5873684210526315,0.24842105263157896,0.35789473684210527,0.40842105263157896,0.4568421052631579,0.3212910647744439,0.34409335781404365,245,11.68457345196179,0.4326530612244898,0.6408163265306123,0.8204081632653061,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,1,Friedel-CraftsAlkylation,899,898,1,0.4582869855394883,0.16240266963292546,0.22358175750834258,0.23915461624026693,0.26696329254727474,0.2021822451586884,0.2110123107612887,390,8.159795583841893,0.5615384615384615,0.735897435897436,0.8871794871794871,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,1,Beckmann,235,232,3,0.30638297872340425,0.04680851063829787,0.08085106382978723,0.09787234042553192,0.16170212765957445,0.07928729184236942,0.08675073530102244,0,,,,,2.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,1,Buchwald-HartwigCross-Coupling,1099,1098,1,0.29208371246587805,0.038216560509554146,0.0718835304822566,0.09190172884440401,0.12920837124658782,0.06766751518111032,0.0759278206277232,0,,,,,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,1,Chan_LamCoupling,390,390,0,0.5538461538461539,0.1564102564102564,0.24102564102564103,0.30256410256410254,0.35128205128205126,0.22278723669542352,0.24159040721877767,0,,,,,2.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,1,DielsAlder,762,742,20,0.25196850393700787,0.03674540682414698,0.07611548556430446,0.0958005249343832,0.12467191601049869,0.06680529200814707,0.07538118286903588,0,,,,,2.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,1,Friedel-CraftsAcylation,475,473,2,0.5136842105263157,0.10526315789473685,0.19157894736842107,0.24210526315789474,0.3031578947368421,0.1719196587729143,0.19217981008394258,0,,,,,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,1,Friedel-CraftsAlkylation,899,898,1,0.3559510567296997,0.07563959955506118,0.12124582869855394,0.14126807563959956,0.1768631813125695,0.11028980310914224,0.12002543152256945,0,,,,,2.0
product_gnn,B2 Product-GNN,2,Beckmann,235,232,3,0.251063829787234,0.03404255319148936,0.05106382978723404,0.06382978723404256,0.1148936170212766,0.05681031889245155,0.06479277947264639,0,,,,,1.0
product_gnn,B2 Product-GNN,2,Buchwald-HartwigCross-Coupling,1099,1098,1,0.29208371246587805,0.02820746132848044,0.059144676979071886,0.09463148316651503,0.14831665150136486,0.062277052720046314,0.07656172450821118,0,,,,,2.0
product_gnn,B2 Product-GNN,2,Chan_LamCoupling,390,390,0,0.5769230769230769,0.09743589743589744,0.2230769230769231,0.2923076923076923,0.4128205128205128,0.19383031898794634,0.23452597276303908,0,,,,,1.0
product_gnn,B2 Product-GNN,2,DielsAlder,762,742,20,0.28083989501312334,0.048556430446194225,0.10498687664041995,0.12467191601049869,0.15879265091863518,0.08785697262380651,0.09847681299597788,0,,,,,1.0
product_gnn,B2 Product-GNN,2,Friedel-CraftsAcylation,475,473,2,0.47789473684210526,0.08842105263157896,0.1768421052631579,0.21894736842105264,0.2863157894736842,0.15303017319310355,0.17550878020105726,0,,,,,1.0
product_gnn,B2 Product-GNN,2,Friedel-CraftsAlkylation,899,898,1,0.42046718576195774,0.07341490545050056,0.15684093437152388,0.1935483870967742,0.24582869855394884,0.13115291462654816,0.15079975673956872,0,,,,,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,2,Beckmann,235,232,3,0.3276595744680851,0.13617021276595745,0.18297872340425533,0.19574468085106383,0.20851063829787234,0.16714074564499873,0.16860920302104393,50,16.65966453552246,0.38,0.52,0.68,1.5
sequential_fnn,B3 EditRetro + Sequential FNN,2,Buchwald-HartwigCross-Coupling,1099,1098,1,0.37124658780709735,0.05823475887170155,0.1237488626023658,0.15741583257506825,0.20291173794358508,0.1075870581572179,0.12415997762863508,323,9.444003367940708,0.48297213622291024,0.7306501547987616,0.8885448916408669,1.5
sequential_fnn,B3 EditRetro + Sequential FNN,2,Chan_LamCoupling,390,390,0,0.7025641025641025,0.32051282051282054,0.44358974358974357,0.48717948717948717,0.5794871794871795,0.404198245473083,0.4397910917609035,256,7.407995626330376,0.63671875,0.80078125,0.9140625,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,2,DielsAlder,762,742,20,0.30971128608923887,0.11679790026246718,0.16404199475065614,0.19028871391076113,0.22178477690288714,0.15165565957907204,0.1643024630074452,183,19.70603410728642,0.37158469945355194,0.5300546448087432,0.6721311475409836,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,2,Friedel-CraftsAcylation,475,473,2,0.5810526315789474,0.19578947368421054,0.3178947368421053,0.35789473684210527,0.4105263157894737,0.2743432106275979,0.2981403591904137,243,11.799667843268733,0.4609053497942387,0.6378600823045267,0.8189300411522634,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,2,Friedel-CraftsAlkylation,899,898,1,0.4682981090100111,0.17130144605116795,0.22024471635150167,0.2447163515016685,0.27474972191323693,0.20836822196411578,0.21819951278736333,400,8.658014037013054,0.5925,0.755,0.865,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,2,Beckmann,235,232,3,0.2978723404255319,0.03829787234042553,0.07659574468085106,0.10212765957446808,0.14893617021276595,0.07071981586932038,0.08085413428823678,0,,,,,2.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,2,Buchwald-HartwigCross-Coupling,1099,1098,1,0.27024567788899,0.039126478616924476,0.06915377616014559,0.09190172884440401,0.11919927206551412,0.06670968679982907,0.07292845897056394,0,,,,,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,2,Chan_LamCoupling,390,390,0,0.5435897435897435,0.1282051282051282,0.2205128205128205,0.28974358974358977,0.35128205128205126,0.2006337862763485,0.2277043520483131,0,,,,,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,2,DielsAlder,762,742,20,0.2742782152230971,0.05249343832020997,0.09973753280839895,0.11679790026246718,0.1377952755905512,0.08437887621280668,0.09227737076815032,0,,,,,2.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,2,Friedel-CraftsAcylation,475,473,2,0.511578947368421,0.0863157894736842,0.1726315789473684,0.23157894736842105,0.31157894736842107,0.15420914658090482,0.1817943322697076,0,,,,,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,2,Friedel-CraftsAlkylation,899,898,1,0.39265850945494996,0.10011123470522802,0.15461624026696327,0.1746384872080089,0.20689655172413793,0.13759931251732774,0.1476872291694256,0,,,,,2.0
