family,seed,n_queries,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,model,route10
Beckmann,0,235,0.3148936170212766,0.1276595744680851,0.16595744680851063,0.20851063829787234,0.22127659574468084,0.15849856749073205,0.1642400725943363,45,19.226065360175237,0.3333333333333333,0.5111111111111111,0.6444444444444445,B3_SequentialFNN,0.6893617021276596
Beckmann,0,235,0.3021276595744681,0.02127659574468085,0.0723404255319149,0.1276595744680851,0.16595744680851063,0.0628028451165781,0.08244369584167413,0,,,,,B4_ReactionGCNN,0.6893617021276596
Beckmann,1,235,0.17872340425531916,0.02127659574468085,0.03829787234042553,0.059574468085106386,0.08936170212765958,0.03954998899109543,0.0437963863271068,0,,,,,B2_ProductGNN,0.6893617021276596
Beckmann,1,235,0.33191489361702126,0.11063829787234042,0.16595744680851063,0.17872340425531916,0.21276595744680848,0.1481184937973412,0.15603038517319015,49,18.035655999670222,0.3877551020408163,0.4897959183673469,0.7142857142857143,B3_SequentialFNN,0.6893617021276596
Beckmann,1,235,0.2851063829787234,0.029787234042553193,0.05531914893617021,0.08085106382978723,0.14042553191489363,0.059353803810006774,0.06842472570600233,0,,,,,B4_ReactionGCNN,0.6893617021276596
Beckmann,2,235,0.18723404255319148,0.01702127659574468,0.029787234042553193,0.0425531914893617,0.10212765957446808,0.03632452285491691,0.04718072252042887,0,,,,,B2_ProductGNN,0.6893617021276596
Beckmann,2,235,0.32340425531914896,0.11914893617021277,0.1702127659574468,0.17446808510638298,0.18723404255319148,0.15151106807408832,0.15021250398534416,48,18.680090109507244,0.375,0.5,0.6458333333333334,B3_SequentialFNN,0.6893617021276596
Beckmann,2,235,0.2553191489361702,0.02553191489361702,0.05531914893617021,0.08085106382978723,0.12340425531914892,0.055229304520210305,0.06410308982867231,0,,,,,B4_ReactionGCNN,0.6893617021276596
Beckmann,0,235,0.35319148936170214,0.08936170212765958,0.16595744680851063,0.1829787234042553,0.23404255319148937,0.13885318887094295,0.15179643198394835,0,,,,,Without_KNN,0.6893617021276596
Beckmann,1,235,0.30638297872340425,0.06382978723404255,0.1148936170212766,0.14893617021276595,0.16595744680851063,0.10234580873501754,0.11180482205519283,0,,,,,Without_KNN,0.6893617021276596
Beckmann,2,235,0.32340425531914896,0.08085106382978723,0.1446808510638298,0.1702127659574468,0.20851063829787234,0.12717022870034742,0.13753073803104485,0,,,,,Without_KNN,0.6893617021276596
Beckmann,0,235,0.40425531914893614,0.13617021276595745,0.17872340425531916,0.20425531914893616,0.23829787234042554,0.17179066227799936,0.1742357006846679,0,,,,,Without_ReaFNN,0.6893617021276596
Beckmann,1,235,0.40425531914893614,0.1446808510638298,0.20851063829787234,0.225531914893617,0.24680851063829784,0.1839908453624457,0.18493329613736095,0,,,,,Without_ReaFNN,0.6893617021276596
Beckmann,2,235,0.40425531914893614,0.03829787234042553,0.08085106382978723,0.09787234042553192,0.1829787234042553,0.07704088879306449,0.09280523419239176,0,,,,,Without_ReaFNN,0.6893617021276596
Buchwald-HartwigCross-Coupling,0,1099,0.5168334849863512,0.3111919927206551,0.39854413102820746,0.4249317561419472,0.45586897179253866,0.3628851104839667,0.3760149374774288,484,12.524909026859502,0.3367768595041322,0.5619834710743802,0.8037190082644629,ProSys,0.6032757051865332
Buchwald-HartwigCross-Coupling,0,1099,0.5168334849863512,0.25477707006369427,0.31028207461328483,0.3202911737943585,0.3348498635122839,0.28967035134426,0.2931935980756029,0,,,,,Without_LTR,0.6032757051865332
Buchwald-HartwigCross-Coupling,0,1099,0.5168334849863512,0.3111919927206551,0.39854413102820746,0.4249317561419472,0.45586897179253866,0.3628851104839667,0.3760149374774288,484,13.187621167355372,0.3305785123966942,0.5351239669421488,0.8057851239669421,Without_RGNN_temperature,0.6032757051865332
Buchwald-HartwigCross-Coupling,1,1099,0.5186533212010919,0.31028207461328483,0.4030937215650591,0.43039126478616924,0.4549590536851683,0.364345011669583,0.37608158055145585,486,11.966208358024693,0.3662551440329218,0.5534979423868313,0.8271604938271605,ProSys,0.6032757051865332
Buchwald-HartwigCross-Coupling,1,1099,0.5186533212010919,0.24749772520473157,0.3111919927206551,0.32666060054595086,0.3357597816196542,0.28740508149254484,0.2929730791649351,0,,,,,Without_LTR,0.6032757051865332
