,,route10,route10,route10,cover,cover,cover,sys1,sys1,sys1,sys3,sys3,sys3,sys5,sys5,sys5,sys10,sys10,sys10,mrr,mrr,mrr,ndcg10,ndcg10,ndcg10,temp_mae,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c,temp_within_20c,temp_n,temp_n,temp_n
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
family,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchwald-HartwigCross-Coupling,ProSys,0.6032757051865332,0.0,3,0.5198665453442524,0.003788291172822802,3,0.3102820746132848,0.0009099181073703375,3,0.40248710949347893,0.003677390249615446,3,0.427054898392478,0.002924977482861081,3,0.45859872611464964,0.005534815769152156,3,0.36427531901364546,0.0013567053834723326,3,0.3771479999336392,0.0019050985782621745,3,12.01792595417549,0.48320451149733434,3,0.35155267326573886,0.014739279123695017,3,0.5608515280643062,0.006858037429718691,3,0.8186942513747146,0.013005811336438324,3,487.3333333333333,4.163331998932273,3
Buchwald-HartwigCross-Coupling,Without_LTR,0.6032757051865332,0.0,3,0.5198665453442524,0.003788291172822802,3,0.2502274795268426,0.003966241076925119,3,0.3084622383985441,0.003966241076925112,3,0.32423415225963,0.0034448943559601242,3,0.3372763117986048,0.0034448943559600995,3,0.28761903659934757,0.0019531461043886546,3,0.2933287558725253,0.00043914238078971666,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Buchwald-HartwigCross-Coupling,Without_RGNN_temperature,0.6032757051865332,0.0,3,0.5198665453442524,0.003788291172822802,3,0.3102820746132848,0.0009099181073703375,3,0.40248710949347893,0.003677390249615446,3,0.427054898392478,0.002924977482861081,3,0.45859872611464964,0.005534815769152156,3,0.36427531901364546,0.0013567053834723326,3,0.3771479999336392,0.0019050985782621745,3,12.420626843399297,0.7131295772655002,3,0.35351814108897134,0.021051293784750676,3,0.5594262130765375,0.02105094311280547,3,0.8173420720024973,0.010203035653179213,3,487.3333333333333,4.163331998932273,3
Buchwald-HartwigCross-Coupling,B1_ProductNB,0.6032757051865332,,1,0.31028207461328483,,1,0.0718835304822566,,1,0.12465878070973613,,1,0.1510464058234759,,1,0.19472247497725206,,1,0.11210859873622912,,1,0.1275581554627593,,1,,,0,,,0,,,0,,,0,0.0,,1
Buchwald-HartwigCross-Coupling,B2_ProductGNN,0.6032757051865332,0.0,3,0.2575068243858053,0.01685191917875537,3,0.016075219896875947,0.0034448943559601294,3,0.040643008795875034,0.00420273171384623,3,0.07097361237488627,0.0031520487853846815,3,0.12799514710342735,0.005253414642307791,3,0.046310344570046826,0.003565806249914164,3,0.05921639908568357,0.0038109720211415795,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Buchwald-HartwigCross-Coupling,B3_SequentialFNN,0.6032757051865332,0.0,3,0.3181680315438277,0.013506487156938031,3,0.05429178040643009,0.008454570739924996,3,0.10555050045495906,0.004728073178077003,3,0.13406126781922958,0.004103048000748756,3,0.17743403093721563,0.010727776271657488,3,0.09474576994529292,0.0070140206225928516,3,0.10888975549485812,0.00684700100957048,3,8.841561998214617,0.6546865844961001,3,0.5206777082438144,0.02484452978973238,3,0.7475763343359446,0.010714572827639926,3,0.8836734590820782,0.022256734564264736,3,285.6666666666667,16.50252505931542,3
Buchwald-HartwigCross-Coupling,B4_ReactionGCNN,0.6032757051865332,0.0,3,0.2614498028510767,0.0027798457354903786,3,0.04579921140430695,0.0058499549657221464,3,0.07734303912647861,0.005459508644222016,3,0.09827115559599636,0.0009099181073703305,3,0.13315134971185927,0.0057787561065385665,3,0.07400835700104912,0.0035948830008312132,3,0.0827215029965475,0.0024287294128427805,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Buchwald-HartwigCross-Coupling,Without_KNN,0.6032757051865332,0.0,3,0.42068547164088566,0.008454570739925005,3,0.15589930239611768,0.019093831647603463,3,0.23961176827418865,0.01628558539115413,3,0.278434940855323,0.010493687529272773,3,0.32423415225963,0.017884771595760466,3,0.21207545122770508,0.017222279230281107,3,0.23267695463765511,0.017503464338034718,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Buchwald-HartwigCross-Coupling,Without_ReaFNN,0.6032757051865332,0.0,3,0.5095541401273885,0.0,3,0.2814680012132242,0.0013899228677452043,3,0.3673036093418259,0.0010506829284615703,3,0.402790415529269,0.001894145586411371,3,0.4328177130724901,0.0026267073211538915,3,0.3361023008050257,0.00154851474792328,3,0.347789630583833,0.0016712620940089412,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Chan_LamCoupling,ProSys,0.6999999999999998,0.0,3,0.6512820512820513,0.0,3,0.2564102564102564,0.013567955441356859,3,0.4205128205128205,0.016012815380508725,3,0.4760683760683761,0.014580104366864943,3,0.535042735042735,0.007401926528072099,3,0.35347726283882636,0.008155431149771365,3,0.38290107692510467,0.005705106064269561,3,5.8779121741031135,0.21763879967698738,3,0.6601268122311686,0.02647309166166658,3,0.854540979571745,0.0027709402533097932,3,0.9482437326394993,0.00650298319163205,3,238.33333333333334,0.5773502691896278,3
Chan_LamCoupling,Without_LTR,0.6999999999999998,0.0,3,0.6512820512820513,0.0,3,0.3615384615384616,0.0076923076923077205,3,0.4581196581196581,0.00533760512683627,3,0.4854700854700855,0.005921541222457719,3,0.5094017094017094,0.0029607706112288394,3,0.4181341792591849,0.003791700638094271,3,0.4307063015381402,0.0034182201803886958,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Chan_LamCoupling,Without_RGNN_temperature,0.6999999999999998,0.0,3,0.6512820512820513,0.0,3,0.2564102564102564,0.013567955441356859,3,0.4205128205128205,0.016012815380508725,3,0.4760683760683761,0.014580104366864943,3,0.535042735042735,0.007401926528072099,3,0.35347726283882636,0.008155431149771365,3,0.38290107692510467,0.005705106064269561,3,7.115224540111107,0.14686330052471686,3,0.6000082041184674,0.005497318489304013,3,0.7818290496114764,0.00793342922042149,3,0.9314663103735219,0.0025109830080897204,3,238.33333333333334,0.5773502691896278,3
Chan_LamCoupling,B1_ProductNB,0.7,,1,0.45897435897435895,,1,0.13846153846153847,,1,0.2282051282051282,,1,0.2743589743589744,,1,0.35128205128205126,,1,0.2039492504412798,,1,0.23378427612088024,,1,,,0,,,0,,,0,,,0,0.0,,1
Chan_LamCoupling,B2_ProductGNN,0.6999999999999998,0.0,3,0.523931623931624,0.026315904817676313,3,0.09829059829059829,0.01036269713930098,3,0.205982905982906,0.029718527608057616,3,0.25811965811965815,0.03601932906958203,3,0.34871794871794864,0.04126532548572073,3,0.17737668011633398,0.019479857056058654,3,0.20830073814148806,0.026156072550547204,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Chan_LamCoupling,B3_SequentialFNN,0.6999999999999998,0.0,3,0.6188034188034188,0.007833462726420212,3,0.2914529914529915,0.021350420507344942,3,0.3923076923076923,0.02602279888485186,3,0.4393162393162393,0.014121975762272062,3,0.4914529914529915,0.011562178853392018,3,0.3596419879612032,0.019473740287955028,3,0.3827199473192819,0.017829421014160348,3,7.777938453525139,0.4813242614391302,3,0.6039908481276738,0.045079550215793594,3,0.7939507416547883,0.02579504100013674,3,0.9066968934636542,0.003015021852726311,3,225.0,3.605551275463989,3
Chan_LamCoupling,B4_ReactionGCNN,0.6999999999999998,0.0,3,0.4794871794871795,0.027735009811261438,3,0.1094017094017094,0.00391673136321012,3,0.19401709401709402,0.009004832267395499,3,0.23931623931623933,0.019415071267693245,3,0.32222222222222224,0.02326608134840373,3,0.17466889720515252,0.004778234417314475,3,0.19988218797055926,0.010282040140716802,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Chan_LamCoupling,Without_KNN,0.6999999999999998,0.0,3,0.5957264957264957,0.003916731363210106,3,0.23162393162393166,0.03556007532087986,3,0.3700854700854701,0.01566692545284049,3,0.4247863247863248,0.0029607706112288394,3,0.4760683760683761,0.00783346272642022,3,0.3179091655778456,0.025603870031630265,3,0.34457085102435014,0.01999979182484314,3,,,0,,,0,,,0,,,0,0.0,0.0,3
