2,4,6-tri(tert-butyl)phenol sodium salt	CC(C)(C)c1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1.[Na+]
2,4,6-triphenylpyrylium tetrafluoroborate	F[B-](F)(F)F.c1ccc(-c2cc(-c3ccccc3)[o+]c(-c3ccccc3)c2)cc1
2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane-2,4,6-trioxide	CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1
2,4-di-tert-butyl-6-({[(1r,2r)-2-(dimethylamino)cyclohexyl](methyl)amino}methyl)phenol	CN(C)[C@@H]1CCCC[C@H]1N(C)Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O
2,4-dichloro-1,3-di-tert-butyl-1,3,2,4-diazadiphosphetidine	CC(C)(C)N1P(Cl)N(C(C)(C)C)P1Cl
2,4-dinitrobenzenesulfonic acid	O=[N+]([O-])c1ccc(S(=O)(=O)O)c([N+](=O)[O-])c1
2,6-bis((s)-4-isopropyl-4,5-dihydrooxazol-2-yl)pyridine	CC(C)[C@H]1COC(c2cccc(C3=N[C@@H](C(C)C)CO3)n2)=N1
2,6-bis(2,2-dimethylpropionylamino)benzoic acid	CC(C)(C)C(=O)Nc1cccc(NC(=O)C(C)(C)C)c1C(=O)O
2,6-bis[(3ar,8as)-3a,8a-dihydro-8h-indeno[1,2-d]oxazolin-2-yl]pyridine	c1cc(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)nc(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)c1
2,6-bis[(4r)-4,5-dihydro-4-(1-methylethyl)-2-oxazolyl]-pyridine	CC(C)[C@@H]1COC(c2cccc(C3=N[C@H](C(C)C)CO3)n2)=N1
2,6-bis[(r)-4-isopropyloxazolin-2-yl]pyridine	CC(C)[C@@H]1COC(c2cccc(C3=N[C@H](C(C)C)CO3)n2)=N1
2,6-di-tert-butyl-4-methyl-phenol	Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
2,6-di-tert-butyl-4-methylpyridine	Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1
2,6-di-tert-butyl-pyridine	CC(C)(C)c1cccc(C(C)(C)C)n1
2,6-diisopropoxyphenyl(dicyclohexyl)phosphonium tetrafluoroborate	CC(C)Oc1cccc(OC(C)C)c1[PH+](C1CCCCC1)C1CCCCC1.F[B-](F)(F)F
2,6-dimethyl-1,4-benzoquinone	CC1=CC(=O)C=C(C)C1=O
2,6-dimethyl-pyridine-3,5-dicarboxylic acid diethyl ester	CCOC(=O)c1cc(C(=O)OCC)c(C)nc1C
2,6-dimethylpyridine	Cc1cccc(C)n1
