family,seed,stratifier,value,n,route10,cover,sys1,sys3,sys5,sys10
Friedel-CraftsAcylation,1,seen_product,False,435,0.6206896551724138,0.5862068965517241,0.21379310344827587,0.3448275862068966,0.39080459770114945,0.4528735632183908
Friedel-CraftsAcylation,1,seen_product,True,40,0.6,0.55,0.05,0.125,0.175,0.3
Friedel-CraftsAcylation,1,context_in_train_library,False,17,0.23529411764705882,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAcylation,1,context_in_train_library,True,458,0.6331877729257642,0.6048034934497817,0.2074235807860262,0.3384279475982533,0.3864628820960699,0.45633187772925765
Friedel-CraftsAcylation,2,seen_product,False,435,0.6206896551724138,0.5862068965517241,0.22298850574712645,0.3425287356321839,0.38850574712643676,0.4850574712643678
Friedel-CraftsAcylation,2,seen_product,True,40,0.6,0.55,0.025,0.125,0.175,0.225
Friedel-CraftsAcylation,2,context_in_train_library,False,17,0.23529411764705882,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAcylation,2,context_in_train_library,True,458,0.6331877729257642,0.6048034934497817,0.21397379912663755,0.33624454148471616,0.38427947598253276,0.48034934497816595
Friedel-CraftsAlkylation,0,seen_product,False,848,0.4091981132075472,0.3867924528301887,0.17452830188679244,0.2806603773584906,0.31485849056603776,0.33372641509433965
Friedel-CraftsAlkylation,0,seen_product,True,51,0.29411764705882354,0.21568627450980393,0.0196078431372549,0.1568627450980392,0.17647058823529413,0.19607843137254902
Friedel-CraftsAlkylation,0,context_in_train_library,False,21,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAlkylation,0,context_in_train_library,True,878,0.40888382687927105,0.38610478359908884,0.16970387243735763,0.28018223234624146,0.3143507972665148,0.3337129840546697
Friedel-CraftsAlkylation,1,seen_product,False,848,0.4091981132075472,0.38797169811320753,0.2016509433962264,0.2830188679245283,0.3113207547169811,0.33962264150943394
Friedel-CraftsAlkylation,1,seen_product,True,51,0.29411764705882354,0.21568627450980393,0.0392156862745098,0.11764705882352941,0.11764705882352941,0.11764705882352941
Friedel-CraftsAlkylation,1,context_in_train_library,False,21,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAlkylation,1,context_in_train_library,True,878,0.40888382687927105,0.38724373576309795,0.1970387243735763,0.28018223234624146,0.30751708428246016,0.3348519362186788
Friedel-CraftsAlkylation,2,seen_product,False,848,0.4091981132075472,0.38325471698113206,0.2016509433962264,0.3113207547169811,0.330188679245283,0.3466981132075472
Friedel-CraftsAlkylation,2,seen_product,True,51,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.13725490196078433,0.19607843137254902
Friedel-CraftsAlkylation,2,context_in_train_library,False,21,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAlkylation,2,context_in_train_library,True,878,0.40888382687927105,0.3838268792710706,0.19817767653758542,0.30751708428246016,0.32687927107061504,0.3462414578587699
