family,seed,stratifier,value,n,route10,cover,sys1,sys3,sys5,sys10
Buchwald-HartwigCross-Coupling,1,seen_product,False,1002,0.7075848303393214,0.6007984031936128,0.3502994011976048,0.46706586826347307,0.500998003992016,0.5399201596806387
Buchwald-HartwigCross-Coupling,1,seen_product,True,97,0.6185567010309279,0.4948453608247423,0.17525773195876287,0.26804123711340205,0.29896907216494845,0.3711340206185567
Buchwald-HartwigCross-Coupling,1,context_in_train_library,False,42,0.47619047619047616,0.0,0.0,0.0,0.0,0.0
Buchwald-HartwigCross-Coupling,1,context_in_train_library,True,1057,0.7086092715231788,0.6149479659413434,0.34815515610217596,0.467360454115421,0.5023651844843898,0.5458845789971618
Chan_LamCoupling,1,seen_product,False,362,0.8093922651933702,0.7651933701657458,0.40331491712707185,0.5359116022099447,0.580110497237569,0.6353591160220995
Chan_LamCoupling,1,seen_product,True,28,0.32142857142857145,0.2857142857142857,0.07142857142857142,0.17857142857142858,0.21428571428571427,0.21428571428571427
Chan_LamCoupling,1,context_in_train_library,False,5,0.4,0.0,0.0,0.0,0.0,0.0
Chan_LamCoupling,1,context_in_train_library,True,385,0.7792207792207793,0.7402597402597403,0.38441558441558443,0.5168831168831168,0.561038961038961,0.612987012987013
DielsAlder,1,seen_product,False,740,0.3716216216216216,0.34459459459459457,0.16891891891891891,0.21216216216216216,0.22432432432432434,0.2581081081081081
DielsAlder,1,seen_product,True,22,0.4090909090909091,0.4090909090909091,0.2727272727272727,0.36363636363636365,0.4090909090909091,0.4090909090909091
DielsAlder,1,context_in_train_library,False,27,0.14814814814814814,0.0,0.0,0.0,0.0,0.0
DielsAlder,1,context_in_train_library,True,735,0.38095238095238093,0.35918367346938773,0.1782312925170068,0.22448979591836735,0.23809523809523808,0.272108843537415
Friedel-CraftsAcylation,1,seen_product,False,435,0.7149425287356321,0.664367816091954,0.26436781609195403,0.4,0.43908045977011495,0.5241379310344828
Friedel-CraftsAcylation,1,seen_product,True,40,0.575,0.475,0.05,0.15,0.175,0.225
Friedel-CraftsAcylation,1,context_in_train_library,False,17,0.47058823529411764,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAcylation,1,context_in_train_library,True,458,0.7117903930131004,0.6724890829694323,0.2554585152838428,0.3930131004366812,0.43231441048034935,0.517467248908297
Friedel-CraftsAlkylation,1,seen_product,False,848,0.5507075471698113,0.5224056603773585,0.2841981132075472,0.392688679245283,0.43278301886792453,0.46108490566037735
Friedel-CraftsAlkylation,1,seen_product,True,51,0.43137254901960786,0.39215686274509803,0.11764705882352941,0.29411764705882354,0.3137254901960784,0.3137254901960784
Friedel-CraftsAlkylation,1,context_in_train_library,False,21,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAlkylation,1,context_in_train_library,True,878,0.5501138952164009,0.5273348519362187,0.28132118451025057,0.39635535307517084,0.43621867881548976,0.4635535307517084
Beckmann,2,seen_product,False,182,0.7307692307692307,0.43956043956043955,0.13186813186813187,0.2087912087912088,0.25824175824175827,0.2857142857142857
Beckmann,2,seen_product,True,53,0.5849056603773585,0.39622641509433965,0.05660377358490566,0.07547169811320754,0.11320754716981132,0.20754716981132076
Beckmann,2,context_in_train_library,False,19,0.5263157894736842,0.0,0.0,0.0,0.0,0.0
Beckmann,2,context_in_train_library,True,216,0.7129629629629629,0.4675925925925926,0.125,0.19444444444444445,0.24537037037037038,0.2916666666666667
Buchwald-HartwigCross-Coupling,2,seen_product,False,1002,0.7075848303393214,0.6047904191616766,0.34530938123752497,0.47604790419161674,0.501996007984032,0.5379241516966068
Buchwald-HartwigCross-Coupling,2,seen_product,True,97,0.6185567010309279,0.4948453608247423,0.18556701030927836,0.24742268041237114,0.26804123711340205,0.36082474226804123
