family,seed,arm,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c
Friedel-CraftsAlkylation,1,full,0.5150166852057843,0.27474972191323693,0.3870967741935484,0.42602892102335926,0.45272525027808674,0.33972163452490906,0.3566533139012058,440,11.314495059613638,0.39090909090909093,0.5886363636363636,0.8386363636363636
Friedel-CraftsAlkylation,1,no_ltr,0.5150166852057843,0.21802002224694103,0.26918798665183535,0.2758620689655172,0.28809788654060065,0.2504118085220811,0.2519007940764993,0,,,,
Friedel-CraftsAlkylation,1,no_rgnn_temperature,0.5150166852057843,0.27474972191323693,0.3870967741935484,0.42602892102335926,0.45272525027808674,0.33972163452490906,0.3566533139012058,440,13.553539936613635,0.32045454545454544,0.525,0.7727272727272727
Beckmann,2,full,0.4297872340425532,0.1148936170212766,0.17872340425531916,0.22553191489361704,0.2680851063829787,0.16314448582249932,0.17647507519930233,71,13.048767187323943,0.2535211267605634,0.5070422535211268,0.8450704225352113
Beckmann,2,no_ltr,0.4297872340425532,0.15319148936170213,0.20851063829787234,0.2297872340425532,0.26382978723404255,0.19378540159024493,0.19635036272943793,0,,,,
Beckmann,2,no_rgnn_temperature,0.4297872340425532,0.1148936170212766,0.17872340425531916,0.22553191489361704,0.2680851063829787,0.16314448582249932,0.17647507519930233,71,14.891061831549296,0.2676056338028169,0.4507042253521127,0.7605633802816901
Buchwald-HartwigCross-Coupling,2,full,0.5950864422202001,0.3312101910828026,0.4558689717925387,0.48134667879890813,0.5222929936305732,0.4031718401349317,0.4199641114599885,542,11.722352095940959,0.3210332103321033,0.5608856088560885,0.8468634686346863
Buchwald-HartwigCross-Coupling,2,no_ltr,0.5950864422202001,0.2611464968152866,0.33212010919017293,0.36396724294813465,0.3812556869881711,0.30917373159871886,0.3194946673425251,0,,,,
Buchwald-HartwigCross-Coupling,2,no_rgnn_temperature,0.5950864422202001,0.3312101910828026,0.4558689717925387,0.48134667879890813,0.5222929936305732,0.4031718401349317,0.4199641114599885,542,11.682485723247234,0.37453874538745385,0.5719557195571956,0.8136531365313653
Chan_LamCoupling,2,full,0.7282051282051282,0.4282051282051282,0.5564102564102564,0.6,0.6384615384615384,0.5036404716077256,0.5228879159796693,267,5.8890967265917595,0.6779026217228464,0.8352059925093633,0.9438202247191011
Chan_LamCoupling,2,no_ltr,0.7282051282051282,0.4076923076923077,0.5205128205128206,0.5487179487179488,0.5743589743589743,0.47247818379192963,0.4894774520369031,0,,,,
Chan_LamCoupling,2,no_rgnn_temperature,0.7282051282051282,0.4282051282051282,0.5564102564102564,0.6,0.6384615384615384,0.5036404716077256,0.5228879159796693,267,7.244696408614232,0.599250936329588,0.7677902621722846,0.9325842696629213
DielsAlder,2,full,0.34776902887139105,0.16010498687664043,0.22178477690288714,0.24146981627296588,0.2690288713910761,0.19902749730984945,0.20524419502632463,208,19.578366152067307,0.23076923076923078,0.4375,0.6826923076923077
DielsAlder,2,no_ltr,0.34776902887139105,0.10236220472440945,0.1679790026246719,0.19028871391076113,0.2047244094488189,0.14297915238439698,0.15254560919687782,0,,,,
DielsAlder,2,no_rgnn_temperature,0.34776902887139105,0.16010498687664043,0.22178477690288714,0.24146981627296588,0.2690288713910761,0.19902749730984945,0.20524419502632463,208,25.88416403105769,0.18269230769230768,0.3317307692307692,0.5192307692307693
Friedel-CraftsAcylation,2,full,0.6484210526315789,0.2631578947368421,0.37473684210526315,0.43157894736842106,0.5073684210526316,0.3422638999743352,0.36243361943302405,270,10.283518278444443,0.43333333333333335,0.6962962962962963,0.8703703703703703
