family,seed,arm,n_queries,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c
Chan_LamCoupling,1,no_ltr,390,0.6512820512820513,0.36153846153846153,0.45384615384615384,0.48205128205128206,0.5076923076923077,0.4165027160975431,0.4281135300200469,0,,,,
Chan_LamCoupling,1,no_rgnn_temperature,390,0.6512820512820513,0.2717948717948718,0.4256410256410256,0.4717948717948718,0.5307692307692308,0.36201707299951313,0.38946334527724275,239,7.231482660669455,0.5941422594142259,0.7740585774058577,0.9330543933054394
Chan_LamCoupling,2,full,390,0.6512820512820513,0.24615384615384617,0.43333333333333335,0.49230769230769234,0.5307692307692308,0.35264462252181367,0.38012065300503284,238,5.722050915966386,0.680672268907563,0.8529411764705882,0.9495798319327731
Chan_LamCoupling,2,no_ltr,390,0.6512820512820513,0.35384615384615387,0.4564102564102564,0.49230769230769234,0.5128205128205128,0.4154312833102609,0.4294254055716396,0,,,,
Chan_LamCoupling,2,no_rgnn_temperature,390,0.6512820512820513,0.24615384615384617,0.43333333333333335,0.49230769230769234,0.5307692307692308,0.35264462252181367,0.38012065300503284,238,7.16401538487395,0.6008403361344538,0.7815126050420168,0.9285714285714286
DielsAlder,0,full,762,0.30971128608923887,0.1036745406824147,0.17454068241469817,0.19816272965879264,0.23228346456692914,0.14842814152727418,0.16083525455036932,183,16.522235952677597,0.2786885245901639,0.4426229508196721,0.7213114754098361
DielsAlder,0,no_ltr,762,0.30971128608923887,0.1036745406824147,0.12992125984251968,0.1377952755905512,0.15223097112860892,0.12372233413161232,0.12551328929485864,0,,,,
DielsAlder,0,no_rgnn_temperature,762,0.30971128608923887,0.1036745406824147,0.17454068241469817,0.19816272965879264,0.23228346456692914,0.14842814152727418,0.16083525455036932,183,22.678968321311476,0.14207650273224043,0.3333333333333333,0.5683060109289617
DielsAlder,1,full,762,0.3083989501312336,0.1272965879265092,0.19291338582677164,0.2178477690288714,0.2545931758530184,0.16926397060171805,0.1828639977422955,183,17.224563761202187,0.2896174863387978,0.4644808743169399,0.6939890710382514
DielsAlder,1,no_ltr,762,0.3083989501312336,0.09973753280839896,0.13517060367454067,0.1377952755905512,0.15354330708661418,0.12198865609581507,0.12511869839319747,0,,,,
