,,cover,cover,cover,sys1,sys1,sys1,sys3,sys3,sys3,sys5,sys5,sys5,sys10,sys10,sys10,mrr,mrr,mrr,ndcg10,ndcg10,ndcg10,temp_n,temp_n,temp_n,temp_mae,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c,temp_within_20c
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
family,arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan_LamCoupling,no_rgnn_temperature,0.6512820512820513,0.0,3,0.2564102564102564,0.013567955441356859,3,0.4205128205128205,0.016012815380508725,3,0.4760683760683761,0.014580104366864943,3,0.535042735042735,0.007401926528072099,3,0.35347726283882636,0.008155431149771365,3,0.38290107692510467,0.005705106064269561,3,238.33333333333334,0.5773502691896278,3,7.115224540111107,0.14686330052471686,3,0.6000082041184674,0.005497318489304013,3,0.7818290496114764,0.00793342922042149,3,0.9314663103735219,0.0025109830080897204,3
DielsAlder,full,0.3092738407699038,0.0007576775186215761,3,0.11854768153980753,0.01294719911369094,3,0.18591426071741032,0.009936847499213072,3,0.2077865266841645,0.00984980774208024,3,0.24278215223097113,0.011212603340311728,3,0.16085120482217727,0.010981566733674711,3,0.173287371344816,0.011292374215427255,3,183.0,0.0,3,16.70305615173042,0.4586578478236401,3,0.28051001821493626,0.008347132413398605,3,0.4553734061930783,0.011375224040798554,3,0.7176684881602915,0.02208443652637914,3
DielsAlder,no_ltr,0.3092738407699038,0.0007576775186215761,3,0.09536307961504813,0.011161286808550372,3,0.13035870516185477,0.004608772420320532,3,0.1377952755905512,0.0,3,0.15179352580927385,0.002004626288257134,3,0.11880257781981311,0.007073176489848581,3,0.12191823844489831,0.005888391185363306,3,0.0,0.0,3,,,0,,,0,,,0,,,0
DielsAlder,no_rgnn_temperature,0.3092738407699038,0.0007576775186215761,3,0.11854768153980753,0.01294719911369094,3,0.18591426071741032,0.009936847499213072,3,0.2077865266841645,0.00984980774208024,3,0.24278215223097113,0.011212603340311728,3,0.16085120482217727,0.010981566733674711,3,0.173287371344816,0.011292374215427255,3,183.0,0.0,3,22.81208453803279,0.5914481035776346,3,0.15664845173041894,0.030096013919596182,3,0.3224043715846994,0.01892951702261067,3,0.5664845173041894,0.02464070903181908,3
Friedel-CraftsAcylation,full,0.5817543859649122,0.0024309485018510456,3,0.19578947368421054,0.013147364207154517,3,0.3129824561403509,0.021296829341043516,3,0.36280701754385963,0.015229848711726774,3,0.44140350877192985,0.021087690107111163,3,0.276306583990224,0.014963792173153289,3,0.2960248467836408,0.018546188323716656,3,238.66666666666666,0.5773502691896278,3,10.081158838355543,0.07147071137105544,3,0.41340552957584703,0.008487992226681474,3,0.6676101402904258,0.007953447517625665,3,0.8645148435943414,0.006718356365844751,3
Friedel-CraftsAcylation,no_ltr,0.5817543859649122,0.0024309485018510456,3,0.2343859649122807,0.009949085528952862,3,0.3256140350877193,0.006077371254627658,3,0.35017543859649125,0.003215842592951473,3,0.3663157894736842,0.0036464227527765567,3,0.29012807848964967,0.006547923138882253,3,0.30175422171384975,0.007398802891294611,3,0.0,0.0,3,,,0,,,0,,,0,,,0
Friedel-CraftsAcylation,no_rgnn_temperature,0.5817543859649122,0.0024309485018510456,3,0.19578947368421054,0.013147364207154517,3,0.3129824561403509,0.021296829341043516,3,0.36280701754385963,0.015229848711726774,3,0.44140350877192985,0.021087690107111163,3,0.276306583990224,0.014963792173153289,3,0.2960248467836408,0.018546188323716656,3,238.66666666666666,0.5773502691896278,3,12.274795428493045,0.4407016266768023,3,0.34085182190030827,0.044466388896134204,3,0.6117576737808094,0.023165491904480282,3,0.8142470377272248,0.014664123816296365,3
Friedel-CraftsAlkylation,full,0.3767148683722655,0.0016991381887118294,3,0.1839080459770115,0.015744066552141004,3,0.2825361512791991,0.015413132881591792,3,0.3088616981831665,0.009590298224974087,3,0.3303670745272525,0.006766142970298319,3,0.2398534650330191,0.010965134221658,3,0.25533306175335463,0.010535128630678582,3,320.3333333333333,2.0816659994661246,3,10.63097255601533,0.9122503966895029,3,0.40583537445911233,0.008408710895964107,3,0.6254936092592207,0.024321480454961943,3,0.8398585468498757,0.027374298079579463,3
Friedel-CraftsAlkylation,no_ltr,0.3767148683722655,0.0016991381887118294,3,0.14275120504263997,0.00651775892890136,3,0.1768631813125695,0.003337041156840935,3,0.1831664812754913,0.0016991381887118326,3,0.1883574341861327,0.0027993453597592688,3,0.1661752855449896,0.0031938079432395523,3,0.1666243619121864,0.0016978934616680536,3,0.0,0.0,3,,,0,,,0,,,0,,,0
Friedel-CraftsAlkylation,no_rgnn_temperature,0.3767148683722655,0.0016991381887118294,3,0.1839080459770115,0.015744066552141004,3,0.2825361512791991,0.015413132881591792,3,0.3088616981831665,0.009590298224974087,3,0.3303670745272525,0.006766142970298319,3,0.2398534650330191,0.010965134221658,3,0.25533306175335463,0.010535128630678582,3,320.3333333333333,2.0816659994661246,3,13.386504819752739,0.5736900986990743,3,0.3216079191177517,0.020348672474641186,3,0.5485253086818641,0.03198112130224041,3,0.7763051491862453,0.017039328276559657,3
